datetime,strategy_file,strategy_name,symbol,test_scenarios,parameter_combination,average_return,return_std_dev,return_on_avg_invested_capital,win_rate,sharpe_ratio,percentile_25th_return,percentile_5th_return,best_case_return,worst_case_return,median_return,total_trades,param_slow_period,param_fast_period,param_cash_percentage
2025-08-06 13:14:02,adaptive_ma_crossover.py,"Adaptive MA(12,35) - Cash(0.10)(slow_period=35, fast_period=12, cash_percentage=0.1)",SDIV,20,"{'slow_period': 35, 'fast_period': 12, 'cash_percentage': 0.1}",0.0018836597557173318,0.02134345680882409,-0.05075192213636124,0.5,0.0882546708618711,-0.013815285652562598,-0.019935891372269875,0.07628877842337678,-0.0229439362849696,0.0005981074127929253,183,35,12,0.1
2025-08-06 13:14:03,adaptive_ma_crossover.py,"Adaptive MA(18,25) - Cash(0.10)(slow_period=25, fast_period=18, cash_percentage=0.1)",SDIV,20,"{'slow_period': 25, 'fast_period': 18, 'cash_percentage': 0.1}",0.006215972535435543,0.014760582972307132,0.10327108141898984,0.7,0.4211197177711447,-0.0017436796536943744,-0.023516788607544997,0.03531726029029869,-0.024419125673730058,0.007757713962573964,205,25,18,0.1
2025-08-06 13:14:04,adaptive_ma_crossover.py,"Adaptive MA(12,40) - Cash(0.10)(slow_period=40, fast_period=12, cash_percentage=0.1)",SDIV,20,"{'slow_period': 40, 'fast_period': 12, 'cash_percentage': 0.1}",0.0036126701711765795,0.01771433584160145,0.0031699295564532105,0.65,0.20394048094607983,-0.005976493008440609,-0.018669894253028924,0.06412369335266899,-0.01885397695016422,0.003024665892008671,143,40,12,0.1
2025-08-06 13:14:05,adaptive_ma_crossover.py,"Adaptive MA(4,30) - Cash(0.10)(slow_period=30, fast_period=4, cash_percentage=0.1)",SDIV,20,"{'slow_period': 30, 'fast_period': 4, 'cash_percentage': 0.1}",0.0023687718425278504,0.01872477834560709,-0.010274400263302797,0.5,0.12650466664047716,-0.01048278344091813,-0.01729344371575666,0.054363543746785536,-0.021417406254865767,-0.002725356370376464,276,30,4,0.1
2025-08-06 13:14:06,adaptive_ma_crossover.py,"Adaptive MA(18,20) - Cash(0.10)(slow_period=20, fast_period=18, cash_percentage=0.1)",SDIV,20,"{'slow_period': 20, 'fast_period': 18, 'cash_percentage': 0.1}",0.003264442809642454,0.01663193941283068,-0.008077256433363855,0.65,0.19627553519850519,-0.012447984263226658,-0.02143598434426791,0.027438952955991525,-0.03240529516140411,0.004997522825639589,390,20,18,0.1
2025-08-06 13:14:08,adaptive_ma_crossover.py,"Adaptive MA(12,60) - Cash(0.10)(slow_period=60, fast_period=12, cash_percentage=0.1)",SDIV,20,"{'slow_period': 60, 'fast_period': 12, 'cash_percentage': 0.1}",0.0008234257049664184,0.014276257889602417,-0.028111493946056276,0.45,0.057677979154896745,-0.010074981961936041,-0.014268174066201521,0.04949462405128768,-0.018588001031233037,-0.0021710006760475853,106,60,12,0.1
2025-08-06 13:14:09,adaptive_ma_crossover.py,"Adaptive MA(18,60) - Cash(0.10)(slow_period=60, fast_period=18, cash_percentage=0.1)",SDIV,20,"{'slow_period': 60, 'fast_period': 18, 'cash_percentage': 0.1}",0.00635741482144816,0.02478661365900532,-0.03184266002632617,0.55,0.2564858156466413,-0.00727749670959324,-0.017696690431151053,0.08725247663067126,-0.022461811649974517,0.00042569479753973294,72,60,18,0.1
2025-08-06 13:14:10,adaptive_ma_crossover.py,"Adaptive MA(10,55) - Cash(0.10)(slow_period=55, fast_period=10, cash_percentage=0.1)",SDIV,20,"{'slow_period': 55, 'fast_period': 10, 'cash_percentage': 0.1}",0.004646723555307997,0.015108650023653228,0.07126852250199574,0.55,0.3075538547807617,-0.004924953345931848,-0.01619984609012829,0.04305326097800233,-0.019012363552729727,0.003382346227059463,105,55,10,0.1
2025-08-06 13:14:11,adaptive_ma_crossover.py,"Adaptive MA(4,65) - Cash(0.10)(slow_period=65, fast_period=4, cash_percentage=0.1)",SDIV,20,"{'slow_period': 65, 'fast_period': 4, 'cash_percentage': 0.1}",0.00940303029796793,0.024478848556308292,0.015323515913451019,0.55,0.38412878270553835,-0.008090473015597732,-0.013269970838308075,0.07556535047613577,-0.024621753658065293,0.001350629834658612,188,65,4,0.1
2025-08-06 13:14:12,adaptive_ma_crossover.py,"Adaptive MA(14,45) - Cash(0.10)(slow_period=45, fast_period=14, cash_percentage=0.1)",SDIV,20,"{'slow_period': 45, 'fast_period': 14, 'cash_percentage': 0.1}",0.004198678501480857,0.01524181301404052,0.04688414628655025,0.55,0.2754710674913214,-0.010312229288177877,-0.015617455301187605,0.03238024554842878,-0.01637595184884799,0.0032461790823151704,127,45,14,0.1
2025-08-06 13:14:14,adaptive_ma_crossover.py,"Adaptive MA(6,75) - Cash(0.10)(slow_period=75, fast_period=6, cash_percentage=0.1)",SDIV,20,"{'slow_period': 75, 'fast_period': 6, 'cash_percentage': 0.1}",0.008918323880754152,0.019534774810200085,0.022829624189144342,0.6,0.4565357915514567,-0.00498759416268324,-0.014783920458390942,0.05053736499215522,-0.018230220246192586,0.003284742484369496,112,75,6,0.1
2025-08-06 13:14:15,adaptive_ma_crossover.py,"Adaptive MA(12,20) - Cash(0.10)(slow_period=20, fast_period=12, cash_percentage=0.1)",SDIV,20,"{'slow_period': 20, 'fast_period': 12, 'cash_percentage': 0.1}",0.011055052049083585,0.01987621797692485,0.16797936788753626,0.65,0.5561949492563357,-0.002711740111879496,-0.017999711450746747,0.04739144771280657,-0.021454583465950083,0.007579855378662903,249,20,12,0.1
2025-08-06 13:14:16,adaptive_ma_crossover.py,"Adaptive MA(2,25) - Cash(0.10)(slow_period=25, fast_period=2, cash_percentage=0.1)",SDIV,20,"{'slow_period': 25, 'fast_period': 2, 'cash_percentage': 0.1}",0.001789208080946858,0.012488986165929793,-0.005215663773314639,0.6,0.1432628763596403,-0.007247340979967015,-0.016741045105168734,0.031137155946033168,-0.0204628451206329,0.0022396366758871133,361,25,2,0.1
